Product Name,Product Price,Product MRP,Product Star,Product Ratings,Product Reviews,Product Processor,Product RAM,Product Storage
ASUS Vivobook Gaming Intel Core i5 9th Gen,44990,76990,4.3,1812  , 245 ,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming F17,54299,79990,4.3,26  , 3 ,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
MSI GF63 Intel Core i7 11th Gen 11800H,56990,79990,4.1,45  , 5 ,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD
MSI Sword 15 Intel Core i5 12th Gen 12500H,70647,98390,4.6,86  , 20 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo LOQ AMD Ryzen 5 Hexa Core 7640HS,67990,89290,4,4  , 1 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,512 GB SSD
MSI GF63 Intel Core i5 12th Gen 12450H,52990,94990,4.3,165  , 16 ,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
MSI GF63 Intel Core i5 11th Gen 11260H,52990,84990,4.3,508  , 56 ,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS Vivobook 14X OLED (2024) For Creator Intel H,70990,110990,4.2,132  , 15 ,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Pro 15 (2024) For Creator Intel H,85990,120990,4.1,69  , 11 ,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Acer Predator Helios Neo 16 2024 Intel Core i9 14th Gen 14900HX,179999,183999,4,5  , 0 ,Intel Core i9 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS,96990,148290,4.5,64  , 8 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD
ASUS Intel Core i5 11th Gen,59990,89990,0,0,0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Cyborg 15 AI Intel Core Ultra 5 125H,96990,111990,0,0,0,Intel Core Ultra 5 Processor,16 GB DDR5 RAM,1 TB SSD
Acer Nitro V Intel Core i7 13th Gen 13620H,82999,105999,0,0,0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD
ASUS Vivobook Pro 16 OLED (2023) For Creator Intel H,99990,152990,4.1,28  , 1 ,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD
Acer Nitro V Intel Core i5 13th Gen 13420H,74990,94999,4.2,93  , 9 ,Intel Core i5 Processor (13th Gen),8 GB DDR5 RAM,512 GB SSD
ASUS Vivobook Pro 15 OLED AMD Ryzen 5 Hexa Core AMD Ryzen 5 5600H,69899,86990,0,0,0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
HP Victus Intel Core i7 12th Gen 12650H,85500,119800,3.6,16  , 1 ,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo LOQ 2024 Intel Core i5 12th Gen 12450HX,60990,82690,5,3  , 0 ,Intel Core i5 Processor (12th Gen),12 GB DDR5 RAM,512 GB SSD
MSI Katana 15 Intel Core i7 13th Gen 13620H,113990,164990,4.2,11  , 0 ,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
Lenovo Lenovo Legion 5 2024 Intel Core i7 14th Gen 14650HX,179790,0,0,0,0,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD
MSI GF63 Intel Core i5 11th Gen 11260H,56990,71990,4.3,35  , 4 ,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD
Lenovo Lenovo Legion 7 2024 Intel Core i9 14th Gen 14900HX,174990,230190,0,0,0,Intel Core i9 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD
HP Victus AMD Ryzen 5 Hexa Core 5600H,55990,66670,5,3  , 0 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS ROG Strix G16 (2023) with 90WHr Battery Intel HX,159990,179990,4.4,7  , 0 ,Intel Core i9 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
HP OMEN Intel Core i9 13th Gen 13900HX,271500,277278,0,0,0,Intel Core i9 Processor (13th Gen),32 GB DDR5 RAM,1 TB SSD
MSI Pulse 17 Intel Core i9 13th Gen 13900H,159990,207990,5,6  , 0 ,Intel Core i9 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
ASUS TUF Gaming A15 (2024) with 90Whr Battery AMD Ryzen 7 Octa Core 5800H,92500,107990,4.4,362  , 34 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming F15 (2024) Intel Core i5 10th Gen 10200H,52000,70990,4.4,7012  , 668 ,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Pulse 17 Intel Core i7 13th Gen 13700H,128990,172990,4.7,26  , 4 ,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
HP OMEN Intel Core i5 13th Gen 13420H,89990,118169,4.3,106  , 13 ,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD
ASUS ROG Strix G16 (2023) with 90WHr Battery Intel HX,159990,179990,4.4,7  , 0 ,Intel Core i9 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H,104990,195890,4.5,93  , 8 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD
ASUS Chromebook Intel Celeron Dual Core N4500,15990,32990,3.8,1305  , 125 ,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,35.56 cm (14 Inch) Display
HP Chromebook (2024) MediaTek MT8183,13990,34554,3.8,4127  , 431 ,MediaTek MT8183 Processor,4 GB LPDDR4X RAM,29.46 cm (11.6 Inch) Display
